date,realized_var,vix_forecast,garch_forecast,intra_forecast,blair_forecast,regime_forecast
2020-10-28,0.0001787582715245,0.00040939610420428357,7.55843505265744e-05,1.3505651292707362e-05,0.00020386891639831176,0.0002231256690396767
2020-10-29,0.000218498625849,0.00035108221809530506,0.0002140838599862943,0.0001787582715245,0.0002705266957289994,0.00029363484959600875
2020-10-30,0.0001700581733102,0.00035948699435164595,0.0001727666715445939,0.000218498625849,0.0002467061135893253,0.0001782872882979601
2020-11-02,8.388100546417103e-05,0.00034050325509130705,0.00015449334238760025,0.0001700581733102,0.00022641678312868222,0.0001709404914915573
2020-11-03,9.040417097657904e-05,0.00030841066222130314,0.00012886959468562785,8.388100546417103e-05,0.0001954935386020883,0.0001563355315958626
2020-11-04,0.000199721816827,0.00020219335783903418,0.00011550719255734219,9.040417097657904e-05,0.00014195874934649135,9.978670545790413e-05
2020-11-05,5.499633708985123e-05,0.0001713535328516343,0.00011151374767413867,0.000199721816827,0.00012644932846743687,0.0001411683146103559
2020-11-06,4.076350020913311e-05,0.00013253550084334318,0.00010473533105528176,5.499633708985123e-05,0.00010569861570274132,0.00011694992720500934
2020-11-09,0.0002705905932458,0.0001446513466332607,8.69317637075515e-05,4.076350020913311e-05,9.88812962897284e-05,7.490952704194365e-05
2020-11-10,5.927120533555993e-05,0.00013178245091231022,7.89053861724683e-05,0.0002705905932458,8.821619429841035e-05,7.054831200080897e-05
2020-11-11,1.652707545330526e-05,0.00011404964926918446,6.822102465913477e-05,5.927120533555993e-05,7.367832478429108e-05,6.24547505404623e-05
2020-11-12,7.307013990583802e-05,0.0001390716581595181,6.201282208043416e-05,1.652707545330526e-05,8.000000868766997e-05,7.648774166546831e-05
2020-11-13,4.769788406360318e-05,0.00010945587391470422,6.709599585377731e-05,7.307013990583802e-05,7.099971531565959e-05,6.000318460449747e-05
2020-11-16,2.2190716352514213e-05,0.00010136845049334166,6.550897704326141e-05,4.769788406360318e-05,6.656431839823243e-05,5.5850454702160766e-05
2020-11-17,3.288315422355859e-05,0.00010447100809825413,6.260277566100484e-05,2.2190716352514213e-05,6.592441205855048e-05,5.766261586706647e-05
2020-11-18,7.484332052335432e-05,0.00011865091336908272,5.850591642519387e-05,3.288315422355859e-05,6.912487557857431e-05,6.57807031315183e-05
2020-11-19,4.860693756377727e-05,0.0001093183625691136,6.846008603817365e-05,7.484332052335432e-05,7.186449989960624e-05,5.9289568007281286e-05
2020-11-20,1.682977510041838e-05,0.00011673244417220396,6.07296123139058e-05,4.860693756377727e-05,6.981968933390448e-05,6.437540614258337e-05
2020-11-23,3.879850227906645e-05,0.00010356916928630254,5.9769982327886253e-05,1.682977510041838e-05,6.366426959303147e-05,5.720181786368644e-05
2020-11-24,6.291659131677485e-05,9.127629218325452e-05,5.485594186580698e-05,3.879850227906645e-05,5.524699763079566e-05,5.1193438219841534e-05
2020-11-25,8.630113982244177e-06,8.671549123888495e-05,5.919806946475391e-05,6.291659131677485e-05,5.6252632414765646e-05,4.800989479202883e-05
2020-11-27,6.119199890845998e-06,8.19576046538146e-05,5.3538028965977554e-05,8.630113982244177e-06,5.049424339517506e-05,4.608924716763597e-05
2020-11-30,4.371467782172657e-05,7.878110778694453e-05,4.9245236207762795e-05,6.119199890845998e-06,4.6337730586480555e-05,4.4865167635976035e-05
2020-12-01,2.8545875855011824e-05,8.097878807036158e-05,4.83527683593584e-05,4.371467782172657e-05,4.66816062370909e-05,4.6211576970133835e-05
2020-12-02,1.8390633900937822e-05,8.546409694612232e-05,4.965603497562764e-05,2.8545875855011824e-05,4.9439943121812755e-05,4.840946413714102e-05
2020-12-03,1.7495302886531568e-05,8.665943233860118e-05,4.627951573042435e-05,1.8390633900937822e-05,4.7695540177335496e-05,4.9445583914131163e-05
2020-12-04,2.1211527698228743e-05,8.100022243255029e-05,4.370212342708186e-05,1.7495302886531568e-05,4.3617912519816355e-05,4.6611193175816785e-05
2020-12-07,9.104427390579842e-06,8.671238921521662e-05,4.4470606594567375e-05,2.1211527698228743e-05,4.654552218578673e-05,4.952421365422167e-05
2020-12-08,2.3194042840007307e-05,7.95686889219526e-05,4.270442049055576e-05,9.104427390579842e-06,4.238933771216333e-05,4.5643500572805425e-05
2020-12-09,7.135159936860423e-05,9.800248395155768e-05,4.125730222748695e-05,2.3194042840007307e-05,4.914582129443264e-05,5.5793649265630015e-05
2020-12-10,2.9845152126650052e-05,0.0001010037860745241,4.727620174038511e-05,7.135159936860423e-05,5.443335534938743e-05,5.6720346169540874e-05
2020-12-11,2.8618764931674476e-05,0.00011073502778788425,4.456473415649471e-05,2.9845152126650052e-05,5.669703755186569e-05,6.229279394873727e-05
2020-12-14,7.170431297798537e-05,0.00012898844479982408,4.254735110524055e-05,2.8618764931674476e-05,6.297862813322252e-05,7.23008596184236e-05
2020-12-15,3.393367696920339e-05,0.00010532511310822156,4.313861385864366e-05,7.170431297798537e-05,5.348564580538934e-05,5.940259563601378e-05
2020-12-16,1.3576331702411076e-05,0.0001004550772859945,4.7128687508332396e-05,3.393367696920339e-05,5.411197554567933e-05,5.6145199648665986e-05
2020-12-17,5.298192205957976e-06,9.35068363940195e-05,4.43354778260822e-05,1.3576331702411076e-05,4.9340991683451155e-05,5.255642191630114e-05
2020-12-18,4.3837224571698674e-05,8.915196140867712e-05,4.328828813924199e-05,5.298192205957976e-06,4.683016697894168e-05,5.0096251194326105e-05
2020-12-21,0.0001181615661196,0.00013453901344558962,4.282904579590445e-05,4.3837224571698674e-05,6.55039888490626e-05,7.468591630148897e-05
2020-12-22,1.2957159257488636e-05,0.00012207204358957824,4.2986579498469594e-05,0.0001181615661196,6.043303544314024e-05,6.829008080093814e-05
2020-12-23,1.2703276154301847e-05,0.0001100979876934447,4.1641186773657375e-05,1.2957159257488636e-05,5.45126464775178e-05,6.159671665860842e-05
2020-12-24,5.5494990387969725e-06,8.838137959904876e-05,4.0190241387914424e-05,1.2703276154301847e-05,4.445781578046737e-05,4.9433147962780536e-05
2020-12-28,7.913494032435633e-06,9.02792220385941e-05,3.9487491029693654e-05,5.5494990387969725e-06,4.478578431768265e-05,5.03251410486957e-05
2020-12-29,2.7762405806168724e-05,0.0001069025282361869,4.107536351095248e-05,7.913494032435633e-06,5.2802238425884146e-05,5.89473488562521e-05
2020-12-30,5.36905246227813e-06,0.00010296926036205725,4.030196938632432e-05,2.7762405806168724e-05,5.064088257877474e-05,5.6729999632253986e-05
2020-12-31,2.8573741587508116e-05,0.00010260865204092136,3.916654575985426e-05,5.36905246227813e-06,4.9728734399805104e-05,5.621982183776911e-05
2021-01-04,0.0003005933894768,0.0001593140163100197,3.968512754216084e-05,2.8573741587508116e-05,7.376043899495009e-05,8.669832797253235e-05
2021-01-05,4.7746673016538875e-05,0.00013637853847321135,6.453497428121776e-05,0.0003005933894768,8.093748199732167e-05,7.300550636348587e-05
2021-01-06,0.0001553357575127,0.0001325878090167458,5.890506867111254e-05,4.7746673016538875e-05,7.5588627229218e-05,7.161992156477144e-05
2021-01-07,5.514565085734464e-05,9.792238850918491e-05,5.4368714114012544e-05,0.0001553357575127,5.803704729145621e-05,5.3299284968863555e-05
2021-01-08,4.6252077243958493e-05,8.824273398434666e-05,5.708487252969934e-05,5.514565085734464e-05,5.578657823209699e-05,4.7545301498554035e-05
